content,score
الحمدلله  السوق جميل ولكن لماذا  الجزائر  فيها  فقط الفرنسية  انا جزائري  وللغتي. عربي وافتخر انا اكره  اللغة الفرنسية,0
"facilite lachat,ne beugue pas",1
Merci au service,1
بصراحة الخدمة ممتازة واشكر من قلبي سوق جوميا علي كل ماقدمه لنا,2
Satisfait de la variété et de la qualité des produits proposés,1
هبل,0
"انا دايما بتسوق من جوميا بقالي سنوات وبدفع عند الاستلام ودلوقتي خاصية الدفع 
عند الاستلام غير مفعله عندي واتصلت بخدمة العملاء قالولي كان عندك بلوك في 
الايميل بتاعك وعدلنا المشكلة وخلال ٢٤ساعة هتقدري تتسوقي... والمشكلة مازالت 
مستمرةوالدفع عند الاستلام مش مفعل ..فين الحل",0
Bonne apli quand jétais en côté divoire mais malheureusement que marche pas au Burkina,1
النصابة,0
Bonne application facile à utiliser cependant je mattendais à une réduction des prix sur les téléphones pour la période de Pacques.,2
De niveau mondial et sérieux.,2
"Perfait, fiable et rapide.",2
Très intéressante comme application. ...,2
facilement utiliser,1
خدمات جيده جدا جدا,2
menteurs les méga cadeau cest juste des monsonges,0
"après mise à jour message derreur utilisateur nest pas éligible sur mobile , réinstallation de la dernière version toujours meme problème, mot de passe oublier meme message derreur.",0
رقم الهاتف غير صالح ......وغير صحيح..,1
Les colis sont envoyés séparément même si la commande a été passée en même temps,1
"Cest une très bonne innitiative ,surtt avec le problème de transport qon a en Algerie . Mais jai mis que 3 étoile , parce que vous mettez bc de temps pour répondre  ça fait déja 24 h que jai envoyer les documents requis , et je nai tjr aucune réponse .",1
لمذا اغرظ gaming موجد في دول كثرا يدعمها الموقع مثل مصر ليست موجد في تونس كنت ارد دعم هذ الموقع لكن عندم وجت هذه العنصري قررت ان اشتري من امزون لذلك يا احبتي افعلو مثلي لي نوريهم عنصريتهم وشكرن,0
Très fiable jaime jumia,2
"Jai bien aimé lapli.Tout mes commande ont été livrées a temps seulement quil faut revoir le delai de retrait des commande fixé a 5 jours, cest trop petit.",2
Je suggère qu il ai une application sos,1
Its Good application,2
"Vous avez pas beaucoup de choix de vêtements pour femme en plus sont pas 
beaux et c cher",0
Une bande de voleurs. Et menteurs. Les ventes flash ne commencent même pas et elle sachèvent directement. Soyez rapide comme léclair vous naurez rien.,0
ممممم لا اعرف,2
تطبيق جيد بقدم خدمه ممتازه,2
"Jaime beaucoup ce que vous faites Jumia mais transport nes plus gratuit, 
en plus le transport très élevé",1
Plutôt passable mais quand on commende les produits qui coute 2500 il tarde a venir,1
Ces bien mais il y a pas tou les produit,2
اريد الطلبات بالمجان من فضلكم,2
Priere modifier les cordonnees concernt le bureau de poste Ain Esobh 8112 chef de bureau mejri tarek merci,1
Ne se charge pas tres lent au demarrage delaccueil,1
Jaime bien mais le retardvdeblivraison,2
"cool... mais revoir les frais de livraison... pour plusieurs articles achetés a la fois, que le prix de livraison dun article couvre les autres.",1
Ne souvre pas à mon téléphone Huawei,0
Elle est Excellente,2
Facinan,2
Rt,0
Excellente app,2
"artcle très bien détaillé suis client depuis .mais jai eu un article que jai retourner le lendemain pour non conformité un écran smart on ma donné un délai de 7 jours pour le remboursement , jattends toujours de voir...je rajouterais des étoiles quand je rentrerais en possession de mon argent..",1
Problème résolu. Merci,1
juste génial,1
"Cest du nimporte quoi 00/10 professionalisme zérooooo ,",0
Pour linstant ya aucune remarque - perfekt ,1
"السلام عليكم.. لقد قمت بارجاع منتج منذ عشرة ايام تقريبا و طلبت خيار الارجاع 
قسيمة شراء.. ولغاية الان لم يصلني الرد ولم يتم التواصل معل من قبلكم.. ارجو 
الاهتمام و شكرا",2
très bonne application jen profite énormément.,2
On peux pas annulés les achats ,0
0000000000000sur 40,0
انهو راع,2
Trop intéressant pour moi,2
G,1
أخيب ريزو في تونس,0
Très bonne application de shopping,2
Behia barcha ama kifech thel niveau 4,2
Cest relax sauf quil faut vraiment réfléchir sur les livraisons ça doit se faire à domicile vu quon inclus les frais.,1
"Cest cool , mais faire des vidéo sur les articles pour mieux les apprécié avant les commandes affin déviter les retour .",1
نا سكنة في الدار بيضاء شرية واحد المنتوج بي  30 درهم ولقية 70درهم في لمجموع,2
تطبيق حلو وسرعة التوصيل اتحسنت عن الاول لكن الالوان ف الملابس خصوصا لو اكتر من قطعة مع بعض مش بتيجي مظبوطة ومصاريف الشحن غليت كتير عن الاول,0
Toooooooop,2
Très lourde comme apk lancienne est plus rapide a louverture,0
Puffff,1
فطومه,1
Mauvaise application merd ...,0
tres bien cette aplication,2
زوين ولهيل بكس,2
Ken famma a9all 1 étoile rani 3titkom,0
سوق جميل,1
Cest la meilleure shoping Ont Algérie,2
لسه.مجربتوش,0
والله انا حملت هالتطبيق التافه فقط باش نجم نكتب تعليق علاش احنا عرب ولغتنا هي العربية وانتم تكتبو وتحكو بلغة الغير عملتولنا العار مايزيش فرانسا استعمرتكم وكسرت بناتكم ڨدامكم الطحين يجري في دمكم تفوووه عليكم,0
ne fonctionne plus depuis les dernières MAJ,0
Jaime bien je suis trés satisfaite,2
Joli,2
"طلبت اوردر من 3 ايام وحتى الآن لم يأتي وقمت بالدفع عبر فورى ولا يوجد أى 
وسيلة للتواصل ورقم الخدمة غير متاح ...لا يوجد مصداقية فى التعامل",0
تمن الشحن لم يعجبني و الله,0
Application magnifique,2
je content de vous,1
Difficile à telecharger,0
Je nai pas aimé lhistoire des ventes flash  black friday .. a chaque fois lapplication se bloque et je pense que cest du blabla ,1
C est une bonne application mais pour livrer elle prend beaucoup de temps,1
Excelente apli,2
cette appli est magnifique pour facilité la vie,1
Black friday arnaque,0
"on ne peut pas modifier un le nom dun produit déjà existant dan la barre de recherche , on est obligé de recommencer à nouveau pour chaque recherche",1
Le prix de transport est grand,0
Jean Baptiste Zida 07913234 Télévision,2
Recharge téléphonique ne fonctionne PLUS  opérateur orange et pourtant ça PREND de largent du compte edinar. jai essayé de recharger 2 fois et je rencontre le même problème. Je reçois le message recharge effectué avec succès mais je PERD largent et je ne reçoit pas le montant saisi. Remarque: les 2 opérations de recharge nont pas été enregistrées dans lhistorique. Svp cherchez à résoudre le problème le plus vite possible. Merci.,1
Application utile et rapide pour assurer nos besoins.Merci jumia,2
"Bonjour. A 2 reprises, je passe commande via lappli et je reçois pas la marchandise",1
.safi,0
انا المنطقه بتاعتي مش موجوده في المناطق ممكن رد من جوميا,1
choufou 7al amane lappilcation wellette tfaded bech tzid article tetplanta et elle redemarre yji 20 marra wahed y3awed bech ta5tef.,0
السلام عليكم. ممكن عنوان نصل إليكم عاوزها اشتري ستائر من عندكم مافيش حد بيرد,1
Merci de corriger lemplacement sur la carte du Bureau Sfax Chihia 3041....,1
انه يحضر الإعلانات بعد مسحه وحتى عندما آقفت تشغيل الهاتف انه سئ للغايه,0
غبياتنم,1
Très très Excellente,1
ربنا يوفقكم,2
"Des appareils défectueux sont livrés, ils annulent les commandes sans prévenir. Les livreurs ne sont pas sérieux et professionnels",0
Big flop c nul,0
Comment faire une commande,1
برشلونة,1
jai commendé une commande et jai appeler votre service et il nous a coupé lappel en visage. tous été normal jusqua que jai dis que ça vient du global. vous êtes les pires,0
Très précieux,2
Pire quOoredoo ,0
"هو جيد لكن مستفز احيانا بينزل عروض لمشتروات ولما اطلبها يقول العرض غير 
متوفر ليه بينزلها",1
Pas mal mais il faut améliorer,1
Des voleurs tout simplement,0
ريزو بتاعكوم كي وجوحكم لافام بلاص يمشي فها,0
"Je ne peux le noter, car il truande les gens par les %de réduction tres importants juste pour tromper les gens, et donner ensuite un prix soit disant reduit alors que ce nest quune tromperie . Je dis cela parceque je suis une victime parmis dautres , les prix sont excessivement chers, et le produit nest pas de bon qualité , ils jouent sur le design pour nous tromper. En une semaine jai dépensé 22000da ,apres jai regreté amèrement . Maintenant même gratuit jen veux plus .",0
Vous êtes des arnaqueurs,0
Prix excellent rapidité,2
nul. cest de larnaque,0
lorsque je regarde la télé sur votre portail ça consomme des frais de mon solde et ce nest pas gratuit comme vous le dites,1
متجر رائع. سلع متنوعة اثمنة مناسبة. لكن مصاريف الشحن مرتفعة مقارنة مع متاجر أخرى كانت مصاريف الشحن معقولة ومقبولة لكنها ارتفعت في الآونة الاخيرة . الاسباب ,1
Merci pour la pour la facilité,1
Lapplication se ferme lorsque je fais une recherche par distance sur mon note8.,1
j pas encore reçu mes soldes jusquau bout de 5 jours q v avey propose merdddddd,0
"Une très bonne application, je lai déjà utilisé plusieurs fois et vraiment toutes mes demandes ont été satisfaites. Merci TOPNET",2
"application catastrophique, impossible dy accéder malgré la mis à jour.",0
Cool marché,2
pourquoi je ne trouve plus la liste des bénéficiaires et je narrive plus à en ajouter,1
Very good its cool,2
موقع محترم ومواعيده كويسه ومنتجاته جميله,2
Est ce que vous livrez les commandes en ce moment de confinement  Je voudrai commander un tripied,1
C l application la plus nulle que j ai jamais utilisée...C une honte.. L application de plante fréquement,0
Pourquoi avec vous cest impossible de tchatter avec les vendeurs comme chez Alibaba ...,1
Bu,2
جوميا بتتقدم كل يوم,2
De larnaque. On te met un Huawei y7 2018 à 499 dinars puis le lendemain on te dit faute système il revient à 580 qui est le même prix dans les boutiques. Arnaque absolue,0
Lapplication est un moyen très rapide de passer une commande,2
اول تجربه ليا وان شاء يطلع جميل,2
C est trebon magasin,2
je voudrais avoir le prix du congélateur solaire,1
Application agréable,2
Je ne suis pas content pas se que se qui ma été livrée na rien avoir avec se que jai vu sur lapplication on pourrait dire que ses de la contfaçon dune qualité minable,0
La roue de chance est toujours perdu . Nul application,0
التطبيق جميل وسهل الاستخدام بس المنتجات احيانا تكون غير المواصفات ارجو ارجو الاهتمام بالمواصفات,1
عاطينها غير للنصب او الاحتيال بغيتليكم السيزي او الزمر الا طفرت ه منين gالسين كاتقولبو فعباد الله,0
اشتريت لاب و تمام ... شركه محترمه,2
حشومة عليكم كنت من الزبناء لكن انا فقدت فيكم الثقة وحيدت الابليكاسيون من موبايلي وغادي نحذر أصدقائي منكم,0
goooooooid,2
"Depuis la dernière mise à jour lapplication beugue au lancement écran blanche elle ne fonctionne plus, cest dommage. Sincèrement jai envie de changer la Banque UIB, car tt leur intérêt cest gagner de largent pas plus ",0
"Jumia à beaucoup changer, ils annulent les commandes à leur bon vouloir . Aussi ils ne lisent pas les mails quon leur envoie",0
Pas mal dans lensemble mais jai acheté un téléphone avec vous et je ne suis pas trop satisfaite du produit,0
Mavaise app w kadabiiiin,0
Je suis toujours satisfait de jumia car il répond à tous mes besoins,2
Déçus très très déçus escroquer de 5000da,0
هو كويس,1
"Après un début prometteur, malheureusement la qualité des produits laisse actuellement à désirer... ",0
Une application très pratique pour gérer un portefeuille virtuelle. Je donne 5 relativement aux autres applications bancaire sur le marché tunisien.,2
J.aime,2
الكذوب و الخوا الخاوي,0
Cest des menteurs,0
ادخل الكوبون ويقول لا خطاء,0
Retard de livraison et destruction des produits pendant le transport,0
اخر تحديث فى مايو ٢٠٢٠ سيئ جدا ويصعب التعامل مع التطبيق وأصبح يهنج كتير ارجو إعادة النظر فيه فعلا أصبح بطئ ويهنج أكثر من مرة,1
سؤن ظبمث#رللميمبكىلنفبخىؤحرخمرمبظبظرمرمرتؤمؤميميمبمببايتينيعينينلثنلانمانللنلبلانﻻزبملنؤتؤنوبنبزبوبنبنؤمؤنؤنننلييبببلبللتبتنبنرنرظزظىىةةىةةةةةونرتؤنرنرا تت رنرل ا ن ا اللبلاليتبناؤةىىوظرءءؤؤؤؤييييييبييؤكان,2
Ghla bazaf,0
zota zoto,1
App ne fonction pas,0
une expérience catastrophique cest des voleurs ils ont essayé de me vendre des baskets fosse avec soi-disant une remise de 70 % vous êtes des voleurs,0
La livraison 1sur20 ,0
Une site faurmidable,2
"Même ayant fait la mise à jour de cette application, je narrive pas à y accéder. Il est toujours écrit  oups. Il semble que nous avons un problème Quand jappuie sur  continuer les achats ca met la même. Je vais devoir désinstaller",0
l application ancienne a7sin w ashil,0
Il y a mieux  Vous pouvez fournir une plateforme plus précise,1
lapplication est tres bonne mais pas encore essayer,1
Intéressant  Jespère le meilleur à venir ,1
"Facilement utilisable, tous y est, couché sur mon lit, je fais mon marché, pas trop le temps en journée pour me promener à la recherche dun article",2
Belle idee mais ça Ne marche pas comme tout ce qui est tunisien :,0
لازم يزيدو المنتجات القيمنق وقطع البيسي و البلايشتيشن والاكسبوكس والالعاب تاوعهم اما الباقي مليح,1
Had MEGA HEMZA ri kdob 2 jours o ana kanwjd 11.00 stock epuisé contactez moi bientot,0
Jusquà là je suis satisfait,1
البضاعه غير اصليه غير الموجود بالصوره كمان مصاريف شحن عاليه وخصوصا انى باطلب كذا طلب علشان يبقوا طلب واحد بيفصلوهم ويبعتوهم على كذا مره الحاجه كمان لو اتكسرت الاسترداد بيكون صعب والتواصل صعب علشان كده لغيت تثبيته,0
jattends ma commande avant de combler les deux autres étoiles. mais pour un début jaime bien.,1
manque beaucoup de chose,1
momtez,1
جوميا ممتازة,2
"Quel UI, vraiment cest de la honte.. essayez de donner un ou deux jours de plus pour le UI.. on est en 2019, les apps doivent avoir un moderne UI, ce nest pas acceptable dinstaller sur android 10 une app qui fait rappel à android 1.. documentez-vous un peu sur material design, chèrs développeur tunisiens..",0
لسه مستني البضاعه,1
Plus de matériel sono,2
Nuuuuuuuuuuuull le plus fort sais oronge en tunisia,0
Lah in3al likom lwalidin alkadaba,0
شركة روووعه لكنى اعانى دوما من مصاريف الشحن الخارجى ولغيت كذا طلب بسبب ذلك شئ مستحيل,2
Service nul nul nul surtout la cominication avec les responsables de cette sit,0
Tayar a.Tn,2
"Sest un bon appli ,je suis a laise avec",2
Très boone,2
"Bonne appli, mais svp donner plus de détails sur les articles, cest important. Merci",1
"Cool lapplication avec un accès rapide, mais ma préoccupation est les 
livraisons de téléphone sans écouteur voyer sa svp",1
Problème de sauvegarde article,1
تطبيق مخنز يسرق رصيد ,0
تطبيق ممتاز والتوصيل مش بياخد وقت والماتريال تحفة واسعار فى متناول الجميع,2
C est satisfaisant,1
très coool,2
Macha allah toujours le Mueller merci,2
Je ne suis pas totalement satisfaite car il ny a plus de points de relais à Zuenoula et cela me fatigue beaucoup pour acheminer ma commande à mon domicile,1
متابع الشحن غير جيده,1
bonjour.. l application ne fonctionne pas depuis quelques jours.. merci de corriger le problème.,0
للاسف ليا فلوس من ٢٠١٩ مش عارفه اخدها,0
The balck friday,1
Cest que de larnaque je recommande cette application à personne ,0
Bonjour sil vous je voudrais que vous maidiez je narrive pas à créer un compte jumia,2
جوميا رائعة جميلة منتجاتها على أعلى مستوى وخدمة العملاء محترمون ومبجلون ورائعون,2
Cette application est intuitive et confortable pour la navigation. Encore un peu plus pour les 5 étoiles,2
très bonne application.,2
يجي نهار ونربح,1
Pour le moment ca va..en attendant ma prochaine livraison,2
عروض تخفيضات كاذبة,0
شحال غالي جوميا خيرمنكم,0
Pas mal application ,1
Jadore jumia car ça facilite beaucoup les choses,1
Cab,2
Très bien mais il manque beaucoup darticles et vêtements pour enfants,2
غاو,2
Moeyen,1
Super ,1
Ça marche pas dès le début Pas de code .,0
Fonctionne bien,1
Vous êtes excellent,2
حسنآ,1
لم أجد ما اريد اريد شوايه كهرباء بغطاء جريل مثلها,1
16/20,2
Very good ,2
la livraison et lente,1
نريد اللغه العربيه ليكون البحث اسهل و التواصل معكم افضل,1
très important,2
N accepte pas les numéro de tel étranger pourtant c pour les Tunisiens qui vivent hors de la Tunisie. Comment peut on faire un sefli avec une cin  Chercher l erreur,0
"Bien j  ai acheter beaucoup de chose est c  est très bien qualité rien à 
dire est je vous le conseille",2
cest tres pratique.,1
Vraiment super ,1
اتمني ان يستمرو في خدمتهم بهذا الاداء الرائع,2
سرعة الرد والاستجابه والزوق فى المعامله,2
Nul nul mchi haja  des servis tres nul et leng temps attendre pour une commende sa depase 2 semene  c est preseque une arnaque c est possible que il vous manque quelque chose dans la livraison et servis client makanche ni numero ni chat pour reclamer  Oran  nul,0
tatbiq jayid,2
Merci pour l apps mais j aurais aime avoir la possibilité de remettre une offre expirée sans obligation de créer une nv a partir de zero,1
جيده بس ياريت لو طلبت اكتر من حاجه تيجي كلها مع بعض وقيمه شحن واحده مش طلامه في طلبيه واحده اكيد ده هيكون افضل واوفر في الشحن,1
trop de notification cest soulant jai même désactivé les notifications mais hélas. jen ai marre je ne parviens plus à tranquillement manipuler mon téléphone tous les 10secondes on menvoi les notifications je ne veux plus de vos notifications déjà que les produits sont fake et 3 fois plus coûteux sur que le marché,0
Tres fiable,2
تطبيق زوين بزاااف,2
La recherche et trop long,0
ليس بالسئ,1
trop top lappli j kiff grave,2
Nuuul j ai télécharger l application on me demande de choisir mon pays et je me rends compte que il ny a pas le Cameroun,0
0000000 majet chay,0
Moi je suis en côte divoire les prix des articles sont en Dina je comprends pas pourquoi Jaimerai que vous me donnez plus dinformations a ce sujet Sinon très bonne applica,0
Cette application est très important pour ne pas ce déplacée,2
برنامج جيد بس ياريت يكون في أفضل في المعامله,1
Jumia faire trop de surprise,1
telecommande tv hyundai plasma.,2
ff,1
Malheureusement,0
Trop envahissant,0
moi personnellement je trouve que cest une bonne application mais je trouve pas aussi extraodinaire parce que de fois on te dis tu as des bons quon ne peux malheureusement pas utilise .Souvent des soldes quon ne peux casiment pas en profiter donc je prie de bien revoir.merci,1
ممتازممتاز وناس محترمه جدا فى معاملتهم,2
on ne trouve jamais l article recherché,0
GIFT 100,2
Service 00000,0
Je trouve sa bien mais il ya certains produits qui son différent de ce quon voie à lachat,1
Coupon invalide dommage.,0
ne fonctionne pas il affiche toujours ce message derreur problème de connexion  veuillez réessayer plus tard,1
"Application très efficace, je peux payer et suivre mes factures sans déplacement à lagence. Bravo Topnet ",2
Tout simplement une app nulle a 100%,0
اسوء خدمة عملاء مش صادقين مفيش احترام للعميل موقع مش يحترم العميل بيلغي الاوردر من غير مايعرف العميل ولما تحب تتواصل مع خدمة العملاء يحدافوك لبعض متعرفش تمسك واحد منه كل واحد يقولك سيب رقم تلفونك ونتواصل معاك لاكن مفيش تواصل ولا احترام ولا تقدير ان العميل هوه سبب نجاح موقعكم او شركتكم مشكلتي انى كنت بتحرك او بصدق مساول خدمه العملاء 19 يوم بيكدبو عليا وحدفوني لبعض لاكن اقسم بالله لأخذ حقى قانونى نصيحه محدش يصدقها هما غير صادقين والله محدش يشترى منهم ولما محدش يخش على الموقع بتعهم هيخسرو,0
Ça maffiche not supported. Je lai installée sur un smartphone Android 8. Bizarre ,1
تكمن غالي في jumia,0
Je trouve que lappli me harcèle un peu trop niveau publicité partout sur internet.,1
faite que ca telecharge,1
Probleme technique,0
Ok nice,0
زى الخرة,0
Jusquà mnt cest une bonne appli rsste à découvrir le jour de la livraison nchallah,1
كذب في كذب لا وجود لتخفيضات و اسعار مرتفعة و خدمات سيئة,0
Pas de réduction des prix ses pas trop chic,0
أسوأ تطبيق ممكن تراه في تطبيقات العالم أجمع,0
Très bonne application .je met 3 étoiles prck jai été déçu.les produits livrés sont très différents de ceux quont vois sur les images.moi personnellement jai commandé 2bracet couple et ce quon ma livré est très différent de ce qui est sur la photo,1
flash vente ri kdooooooooob fkdooooob f kdooooob,0
"Pas mal, mais par moment prenez le temps dappeler les clients pour quils vous donne leur position au cas où ils sont pas dans le délai du retrait de colis.",1
Dommage nous pouvons plus faire confiance en vous  zero étoile,0
٦٦,1
Très bonne appli elle nous permet de faire des achats sans se deplacer,1
c le meilleur de shop ing,2
الكذب و الكذب و المخزون فرغ,0
سراقين وكذابين كل سنة تكذبوا في التخفيضات,0
Mon téléphone minforme que votre application risque de ne pas fonctionner aprés la dernière mise à jour du système Android et me demande de chercher une mise a jour de attijari mobile Tunisie et en consultant mon playstore je trouve aucune mise a jour disponible. Aidez moi svp,1
Avant je recevais les commandes a la date indiquée. Mais jai commandé un réflecteur depuis le 03 janvier et devrait arriver a destination entre le 20 et le 21 Janvier. Nous sommes 31 janvier et jusque là rien. Il a même fallu que jappelle le service client pour me parler dun problème de logistique. La logique était de minformer avant sans que je le demande. Je veux mon produit et sais tout...,0
التطبيق سهل الاستخدام لكن بعض النتجات بتوصل غير المواصفات الي انت طلبتها,1
"This app was made by theives they trippled the prices on black Friday and put the real one as it was on sale, they made a fake contest won by a fake person, I hope u take the right measures about them, these con artists needs to Be stopped... No morals.",0
Servent plus de confiance ,0
Cooooooooooooooooooooooooooooooooool,2
"Ça serait bien de prendre en considération les feedback des utilisateurs, car on est toujours obligé de REssaissir nos logs Sachant que cest vraiment pas la mer à boire, ça peut être une tâche parmi dautres pendant un stage dété...",1
"jarabt application nahrin el teli w habat 3liha des articles w cv ma7leha fluid w tayara, ames welaw les bugs, ma3tech youthherli 7atchay w dima pas de connexion internet mais ani nkoun connecté welkoul. point theni eli 7abit nwath7ou,3malt desinstalation lel application w 3awedt sabitha w 7atit nafs numero mte3i lesa3maltou bech 3malt profil lmara le9bal mais tatattaaaaa historique mte3 profil le9dim mafemech du coup manajemch na3mzl suivit mta3 lzs articles lihabthom t9oul 3liya 3mal profil jdid. jespere tsal7ou le7keyet hethom w courage",0
سلام عليكم موقع جميل لكن ملاحظة بسيطة وهي عند إستلامي المنتوجات التي طلبت لا أستلمها كلها في وقت واحد وهدا ما أزعجني كثيرا وشكرا لكم لإنتباهكم إلى رسالتي,1
Acces Facile et rapide .pour la livraison on attend voir.,1
ouiiiiiiiiiiiii,2
c est geniale cette appli,0
جميل ولكن لو ييجى الطلب بكذا مقاس لاني مو بعرف مقاسى في معظم الموديلات,1
"pas de bug depuis que je lutilise,en plus elle est utile.",2
"قدمت شركة جوميا اعتذار عماورد من خطاء كما قدمت هدية وهذا يكتسب كثيرا من 
الثقة لدا عملائها",2
Paiement en ligne absent et pour toujours,0
كويس بس ياريت يكون في صفحه عربي احنا مش اجانب,1
"A 18h00 je me connecte pour bénéficier de la promo, tout fonctionne dans votre appli sauf ladite page. Le pire est que ça me dit jai une mauvaise connexion tandis que jai pu ouvrir une vidéo 4k sur yt. Faites du traffic dignement. Je désinstalle Espérant quune nouvelle application prend la relève sur vous parce que vous faites un très mauvais travail. Je marquerai ce message à chaque fois où je remarquerai la surpression de mon commentaire.",0
رجع فورفي ارخص من قبل 25G  20d,0
حسبي الله ونعم الوكيل في اي حد ميرعيش ضميره في شغلته طلبت منهم كاميرا طلعت وحشه جدا وعما كلمتهم في ثانيه بعتو خدوها ولحد دلوقتي مش عارفه استرد الفلوس بقسيمه الشراء المعايا,0
up,2
"Bonjour jumia . Personnelement, il est vrais que vos articles sont souvent beaux à vu doeil, mais à la livraison je suis dessu de la qualité de certains articles. Il y a aussi de la satisfaction pour dautre je le reconnais. j vous remerci dexister car avec vous nous avons des prix souvent bien et souvent abusé aussi. Aussi, pour la livraison je ne comprends pas pourquoi il faut payer des frais pour chaque article livré au même endroit dou ma préférence au point relait qui est plus économe.",1
"Simple, pratique et efficace",2
رجعت منتج من شهر٤ ولسه الفلوس مجتش لحد الان شهر ٦,0
Souvent les produits ne sont pas conformes.,2
الططبيق مره حلو لكن في مشكله صغيره لما تيجى تتلبى حاجه لزم تولى على الشروت,2
Application très pratique ,2
احببت هذا التطبيق جدا,2
Bonne application il facile les opérations merci,2
iykmom oikمل٩بببک٧سج٨ق٨ص,2
la nouvelle version est catastrophique,0
الدرجات النارية,2
Beaucoup de choses à améliorer.,1
Bonne application mais depuis quelques jours je narrive pas à me connecter.,1
Jaime bien votre application. Jai juste été déçu par les powers Samsung de 20.000 mAh. Jai commandé un autre mais cette fois ci de marque energizer. Je verrai bien. Merci,1
حلو البرنامج بس في مره اشتريت عدسه وطلع جوه العدسة طراب ده ينفع بس عودوني الصراحه,2
Bon pour passer des commandes en toute sécurité,1
ياخي فما كل شي  حتى مراول متع k-pop,2
Top de top,2
Prope rien a dire,2
قدمت الطلب لسه مااستلمت هل التركيب مجاني,1
Pourquoi la reservation des tickets en ligne ne concerne pas beaucoup de postes,1
مثيره للاهتمام,1
ليه تجربتين مع جوميا في التزام في المواعيد والاسعار فيها تخفيض حقيقي,0
bonne appli et explicite à lutilisation,1
"Je viens dinstaller lapplication D17, jai rechargé depuis mon compte bancaire et lapplication nas pas dépassé la 2ème étape dinscription",0
جيد لكن المنتج يصل متاخر,1
lapplication ne fonctionne pas  veillez fixer les problèmes,0
Problèmes,1
CooL,1
Agd,1
بصراحه التطبيق ممتاز بس موضوع الشحن من بره ده مكلف جدا حاجه ب ٦٠ جنيه تخد عليها جمرك ٩٩ جنيه محدش هيشتري هتقف غاليه اوي لازم تراجعو موضوع الجمرك ده وشكرأااااأااااااا,1
"les frais sont trop chers, a ce prix là, la livraison devrait se faire en 2 jours maximum.",1
Achats,1
Jalme,0
Pour un article de 1500 je paye 1250 comme frais hum,1
انا بدي البرنامج 3 نجوم لان مفهوش اللغه العربيه يا ريت في التحديث القادم وجود لغه عربيه.           وشكرا,1
Satisfait de Lapplication et entiérément confiance et je souhaîte énormément beaucoups de Succés avec Notamment son Merite...,2
cest de larnaque pure pas de garantie pas de remboursement même en suivant les conditions et démarches pour remboursement vraiment سرارقة ولادة الحرام,0
Problem geomap DAB nest pas exacte,1
جمیل جدا,2
Merveilleux application jen suis fière,2
pas mal comme appli  mais pas suffisamment rapide. Il ny a pas assez de détails sur le produit. Du coup on ne connait pas les caractéristiques exactes du produit en question. Je prends lexemple des clé USB.,1
Il y a des choses super mais laugmentation de prix de livraisons cest une mal chose jespére que deminuer le prix de livraisons svp enfin b courage,1
Ses coul,1
"Bonjour Jumia je trouve que les filtres de recherche sont pas trop 
nécessaires parce que quand je cherche iPhone 7 je vois que des accessoires 
alors que jai mit comme filtre téléphones  tablettes",0
أعجبتني,2
Magnifique cest du solide,2
jaurais préféré que les livraisons se font dans chaque ville parce que la vous perquisitionner les frai de livraison mais je suis toujours oubliger de me déplacée comment  donc réglé sa et vous auriez 5 etoil,1
Accédez à tous vos besoins à travers jumia,1
pourquoi ne gagne pas ps4 ou 5million ou smart TV,1
Les recherches sont parfois difficiles,1
Très captivant jaime bien,2
Ça fait plus de 8 fois je télécharge lapplication mais ça se désinstalle tout seul de mon téléphone. ou bien on doit la télécharger à chaque fois quon veut faire des achats,0
rien à dire.,2
Kadiro sway3 diyal lbnat fjiha diyal drari ,0
Bonne application et bon service à tous. Merci à vous cher concepteur,2
"Trop de notifications, et je comprends pas que voulez vous dire par responsable  Et ensuite vous offrez un service magnifique , sauf quil faut juste désactiver les notifications pour lapplication",1
خدمة التوصيل ممتازة والمواعيد مظبوطة,2
Bcp de pub et d offres et moin de credibilité.. Arretez les pub mensengères on est vrmt marre,0
"Je suis déçu de laccueil de lagence de Sanpedro, pas de sécurité et déçu pour un article,un jeans 501 que je trouve faut,de la lenteur du remboursement ,dun article retourner. Conclusion je ne ferais plus dachat sur jumia",0
Cest une bonne application qui facilite lachat en ligne .jaime bien jumia,2
شكرا جوميا اريد عطور ديور,2
Très rare pour les bon dachat que tu sois meilleur client,0
Jumai ben a faire,2
Peut être meilleure que ça.,1
Livraison gratuite,0
Vous avez un problème au niveau de lachat dans le cas ou on achète au point de relais il y a toujours les frais de livraison ,0
Normale,1
Application ki tremkom 9adech te7chiw fih,0
non je nest jamais changer de numero ni de portable croiyer moi a chaque foi il demande de numero d carte est d mise a jours surtout quand je vient dalimenter le compte,0
vous ne vander Pas la Nintendo swich,0
لا مشكلة. لكن ممكن تضيفو منتجات اخرى انا اسعى لاكون مبرمج روبوتات  لكن لاجد منتج في جوميا يساعيدوني  مثلا kit arduino uno يمكنكم الاطلاع على هذا الكيت في يوتوب اكتبو حزمة آردوينو اسم القناة آوجادور,1
Des Menteurs de haut niveau,0
Pour quand le ccpnet,0
Piiiiire application au monde. Black friday nuuuuule #vole,0
انا لسه جديده,0
Jumia je ne sais pas comment acheter des trucs,2
L application est intéressante,1
